Diameter, Number
92.2440,0.000130939
84.6612,0.000204121
83.3893,0.000275885
78.4899,0.000339040
70.9555,0.000372880
70.5984,0.000451030
69.5377,0.000528529
67.4640,0.000619345
65.1227,0.000692050
64.1444,0.000810963
62.5463,0.000935359
61.9183,0.00107884
60.3757,0.00122475
59.4686,0.00136852
59.1693,0.00162930
55.6929,0.00173599
55.6929,0.00193978
53.4895,0.00216748
52.1569,0.00246063
49.8413,0.00253992
46.2082,0.00279343
44.8302,0.00327342
43.9344,0.00360014
43.0566,0.00395948
41.5623,0.00421875
41.3531,0.00478933
39.9180,0.00510294
38.7276,0.00579310
37.9538,0.00552398
36.2687,0.00617244
35.1872,0.00746609
32.7872,0.00847587
31.9704,0.00917521
30.3972,0.0100910
28.6113,0.0100910
27.7581,0.0114558
26.3922,0.0122059
24.4684,0.0134242
23.1473,0.0143032
22.0083,0.0152398
20.9253,0.0157309
19.5968,0.0162377
18.6325,0.0167609
17.6265,0.0173010
16.4243,0.0175775
15.4593,0.0178584
14.7729,0.0178584
14.1171,0.0178584
13.2876,0.0181439
12.3814,0.0184339
11.0247,0.0187285
10.4822,0.0190278
9.42831,0.0184339
8.52327,0.0187285
8.02250,0.0187285
7.14345,0.0190278
6.75776,0.0193319
5.69241,0.0193319
4.29120,0.0199548
4.51328,0.0187285
